Flight No.,Date,Time,Version Booster,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Booster landing
106,24 January 2021,15:00,F9 B5B1058.5613,"CCSFS , SLC-40",Transporter-1 ( 143 smallsat rideshare ),"5,000 kg",SSO,Various,Success,Success
107,4 February 2021,06:19,F9 B5 ♺,"CCSFS , SLC-40",Starlink 18 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
108,16 February 2021,03:59:37,F9 B5 ♺,"CCSFS , SLC-40",Starlink 19 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Failure
109,4 March 2021,08:24,F9 B5 ♺,"KSC , LC-39A",Starlink 17 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
110,11 March 2021,08:13:29,F9 B5 ♺,"CCSFS , SLC-40",Starlink 20 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
111,14 March 2021,10:01,F9 B5 ♺,"KSC , LC-39A",Starlink 21 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
112,24 March 2021,08:28,F9 B5B1060.6643,"CCSFS , SLC-40",Starlink 22 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
113,7 April 2021,16:34,F9 B5 ♺,"CCSFS , SLC-40",Starlink 23 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
114,23 April 2021,9:49,F9 B5B1061.2647,"KSC , LC-39A",Crew-2 ( Crew Dragon C206.2 Endeavour ♺),"13,000 kg",LEO ( ISS ),NASA ( CTS ),Success,Success
115,29 April 2021,03:44,F9 B5B1060.7652,"CCSFS , SLC-40",Starlink 24 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
116,4 May 2021,19:01,F9 B5B1049.9655,"KSC , LC-39A",Starlink 25 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
117,9 May 2021,06:42,F9 B5B1051.10657,"CCSFS , SLC-40",Starlink 27 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
118,15 May 2021,22:56,F9 B5B1058.8660,"KSC , LC-39A",Starlink 26 v1.0 (52 Satellites) Capella -6 & Tyvak -0130,"14,000 kg",LEO,SpaceX Capella Space and Tyvak,Success,Success
119,26 May 2021,18:59,F9 B5B1063.2665,"CCSFS , SLC-40",Starlink 28 v1.0 (60 Satellites),"15,600 kg",LEO,SpaceX,Success,Success
120,3 June 2021,17:29,F9 B5,"KSC , LC-39A",SpaceX CRS-22 ( Dragon C209.1 ),"3,328 kg",LEO ( ISS ),NASA ( CRS ),Success,Success
121,6 June 2021,04:26,F9 B5B1061.3,"CCSFS , SLC-40",SXM-8,"7,000 kg",GTO,Sirius XM,Success,Success
